Estación;Provincia;Temperatura máxima (ºC);Temperatura mínima (ºC);Temperatura media (ºC);Racha (km/h);Velocidad máxima (km/h);Precipitación 00-24h (mm);Precipitación 00-06h (mm);Precipitación 06-12h (mm);Precipitación 12-18h (mm)
Águilas;Murcia;17.9 (13:40);6.4 (08:20);12,1;14 (00:30);8 (08:30);0;0;0;0
Mazarrón;Murcia;19.4 (14:40);6.6 (07:50);13;15 (06:50);12 (06:40);0;0;0;0
Cartagena;Murcia;19.0 (15:40);3.4 (09:00);11,2;13 (16:00);8 (16:00);0;0;0;0
Fuente Álamo de Murcia;Murcia;20.0 (15:50);3.3 (08:00);11,6;;;0;0;0;0
Torre-Pacheco;Murcia;19.1 (15:40);3.6 (06:00);11,4;15 (08:10);9 (08:10);0;0;0;0
San Javier Aeropuerto;Murcia;20.2 (14:40);3.4 (08:20);11,8;18 (11:00);14 (06:50);0;0;0;0
Moratalla;Murcia;13.0 (11:50);2.1 (02:30);7,5;;;0;0;0;0
Caravaca de La Cruz;Murcia;15.2 (11:50);0.2 (07:00);7,7;28 (04:40);19 (04:50);0;0;0;0
Calasparra;Murcia;18.3 (16:20);0.4 (08:20);9,3;13 (21:00);8 (21:00);0;0;0;0
Bullas;Murcia;16.0 (15:50);2.8 (07:40);9,4;;;0;0;0;0
Jumilla;Murcia;17.6 (15:10);-3.3 (08:00);7,2;15 (16:10);10 (16:00);0;0;0;0
Cieza;Murcia;17.1 (17:00);-0.1 (07:50);8,5;23 (10:20);17 (10:20);0;0;0;0
Archena;Murcia;19.9 (16:10);5.8 (07:50);12,8;;;0;0;0;0
Mula;Murcia;18.9 (13:50);3.9 (07:20);11,4;25 (09:20);16 (05:30);0;0;0;0
Murcia;Murcia;20.5 (16:10);2.5 (08:40);11,5;17 (08:50);13 (08:50);0;0;0;0
Caravaca de La Cruz, Los Royos;Murcia;15.1 (15:30);0.2 (02:00);7,7;;;0;0;0;0
Lorca, Zarcilla de Ramos;Murcia;18.6 (16:00);0.5 (08:20);9,6;24 (02:40);17 (02:40);0;0;0;0
Lorca;Murcia;18.5 (14:10);0.3 (08:30);9,4;13 (01:00);7 (01:00);0;0;0;0
Puerto Lumbreras;Murcia;18.8 (15:30);5.8 (07:30);12,3;;;0;0;0;0
Totana;Murcia;19.3 (15:40);2.7 (08:50);11;12 (23:20);5 (10:00);0;0;0;0
Alhama de Murcia;Murcia;18.0 (16:00);2.2 (07:10);10,1;16 (20:20);10 (20:40);0;0;0;0
Molina de Segura;Murcia;18.4 (15:30);4.7 (23:10);11,5;31 (09:50);22 (07:20);0;0;0;0
Abanilla;Murcia;19.4 (15:20);1.1 (06:20);10,2;;;0;0;0;0
Yecla;Murcia;17.6 (15:20);-4.0 (07:50);6,8;19 (15:30);17 (19:00);0;0;0;0
